RouteID,StopID,ActualTime,ScheduledTime,Delay
331,12,2014-08-19 11:23:44,11:27:00,-196
331,67,2014-08-19 11:29:37,11:38:00,-503
331,1,2014-08-19 11:51:11,11:45:00,371
331,6,2014-08-19 11:55:11,11:47:00,491
331,12,2014-08-19 12:00:23,11:57:00,203
331,67,2014-08-19 12:06:51,12:13:00,-369
331,1,2014-08-19 12:26:53,12:20:00,413
331,6,2014-08-19 12:30:11,12:22:00,491
331,12,2014-08-19 12:35:13,12:32:00,193
331,67,2014-08-19 12:42:17,12:43:00,-43
331,1,2014-08-19 13:00:37,12:50:00,637
331,6,2014-08-19 13:04:22,12:52:00,742
331,12,2014-08-19 13:08:13,13:02:00,373
331,67,2014-08-19 13:14:33,13:13:00,93
331,1,2014-08-19 13:35:43,13:50:00,-857
331,6,2014-08-19 13:39:41,13:52:00,-739
331,12,2014-08-19 13:44:47,13:32:00,767
331,67,2014-08-19 13:54:21,13:43:00,681
331,1,2014-08-19 14:09:31,14:16:00,-389
331,6,2014-08-19 14:12:24,14:27:00,-876
331,12,2014-08-19 14:16:11,14:02:00,851
331,67,2014-08-19 14:23:49,14:18:00,349
331,1,2014-08-19 14:44:57,14:55:00,-603
331,6,2014-08-19 14:49:10,14:57:00,-470
331,12,2014-08-19 14:54:35,15:07:00,-745
331,67,2014-08-19 15:01:05,14:48:00,785
331,1,2014-08-19 15:22:07,15:25:00,-173
331,6,2014-08-19 15:24:39,15:27:00,-141
331,12,2014-08-19 15:29:17,15:37:00,-463
331,67,2014-08-19 15:35:35,15:48:00,-745
331,1,2014-08-19 15:55:29,15:55:00,29
331,6,2014-08-19 15:59:03,15:57:00,123
331,12,2014-08-19 16:02:51,16:07:00,-249
331,67,2014-08-19 16:09:45,16:23:00,-795
331,1,2014-08-19 16:30:19,16:30:00,19
331,6,2014-08-19 16:33:53,16:32:00,113
331,12,2014-08-19 16:38:17,16:42:00,-223
331,67,2014-08-19 16:45:20,16:53:00,-460
331,1,2014-08-19 17:04:34,17:00:00,274
331,6,2014-08-19 17:08:48,17:02:00,408
331,12,2014-08-19 17:13:14,17:12:00,74
331,67,2014-08-19 17:22:20,17:23:00,-40
331,1,2014-08-19 17:39:40,17:30:00,580
331,6,2014-08-19 17:42:16,17:32:00,616
331,12,2014-08-19 17:46:38,17:42:00,278
331,67,2014-08-19 17:51:48,17:53:00,-72
331,67,2014-08-21 07:43:53,07:33:00,653
331,1,2014-08-21 07:49:09,07:40:00,549
